Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
1,adamja01,26,KCR,32.1,,31,142,122,22,30,6,1,9,2,2,15,37,0.246,0.338,0.533,0.871,0.269,65,1,3,0,2,1,0
2,adamsau02,27,WSN,1,,2,7,4,0,1,0,0,0,0,0,3,0,0.25,0.571,0.25,0.821,0.25,1,0,0,0,0,0,0
3,adamsch01,23,NYY,7.2,,3,34,30,7,8,1,0,3,0,0,4,4,0.267,0.353,0.6,0.953,0.217,18,2,0,0,0,0,1
4,alberma01,35,MIL,34.1,,34,157,140,29,45,3,2,10,3,1,12,32,0.321,0.376,0.586,0.962,0.347,82,6,2,0,3,2,2
5,alcansa01,22,MIA,34,,6,146,117,13,25,8,0,3,1,2,23,30,0.214,0.347,0.359,0.706,0.256,42,2,2,2,2,0,0
6,alcanvi01,25,DET,30,,27,119,112,8,25,7,0,5,1,0,6,21,0.223,0.261,0.42,0.68,0.23,47,1,0,0,1,0,1
7,alexasc02,28,LAD,66,,73,268,238,28,57,9,2,4,4,3,27,56,0.239,0.322,0.345,0.667,0.298,82,15,2,1,0,2,2
8,allarko01,20,ATL,8,,3,47,41,12,19,2,0,3,0,0,4,3,0.463,0.522,0.732,1.253,0.457,30,1,1,1,0,0,1
9,allenco01,29,CLE,67,,70,289,251,35,58,10,1,11,2,0,33,80,0.231,0.33,0.41,0.74,0.294,103,5,4,1,0,2,0
10,almonmi01,25,LAA,7,,8,34,30,8,9,3,1,1,0,0,3,7,0.3,0.382,0.567,0.949,0.364,17,0,1,0,0,0,0
11,almonye01,24,COL,14.2,,14,60,55,5,15,5,0,1,1,1,4,14,0.273,0.317,0.418,0.735,0.341,23,4,0,0,1,0,2
12,altavda01,25,SEA,20.2,,22,85,68,7,11,2,0,2,2,0,15,23,0.162,0.329,0.279,0.609,0.209,19,3,2,0,0,0,0
13,alvarjo03,23,TBR,64,,70,263,229,21,42,10,1,1,2,0,29,80,0.183,0.276,0.249,0.525,0.273,57,3,1,2,2,4,5
14,alvarjo02,29,LAA,63,,76,261,235,20,51,14,1,3,3,1,22,59,0.217,0.29,0.323,0.613,0.277,76,6,2,2,0,2,2
15,anderbr04,30,OAK,80.1,,17,333,316,42,90,21,1,10,1,1,13,47,0.285,0.317,0.453,0.77,0.309,143,9,2,2,0,0,2
16,anderch01,30,MIL,158,,30,644,575,71,131,20,2,30,10,8,57,128,0.228,0.305,0.426,0.731,0.242,245,13,7,4,1,0,3
17,anderdr02,24,PHI,12.2,,5,59,55,7,17,7,0,0,3,0,2,11,0.309,0.356,0.436,0.792,0.386,24,1,2,0,0,0,1
18,anderju01,25,LAA,55.1,,57,241,196,25,42,3,0,3,3,2,40,67,0.214,0.358,0.276,0.634,0.31,54,9,4,0,0,3,1
19,anderta01,25,PIT,11.1,,6,56,45,10,15,3,0,1,1,0,8,6,0.333,0.444,0.467,0.911,0.368,21,3,1,2,0,2,1
20,anderty01,28,COL,176,,32,737,665,94,165,35,4,30,9,3,59,164,0.248,0.309,0.448,0.757,0.282,298,13,3,3,7,1,6
21,andrima01,28,TOT,78.2,,41,340,311,51,84,20,2,15,5,1,25,78,0.27,0.327,0.492,0.819,0.315,153,9,2,1,1,5,3
22,andrima01,28,TBR,59.2,,27,251,229,32,55,14,1,7,3,0,18,59,0.24,0.3,0.402,0.702,0.293,92,6,2,1,1,3,3
23,andrima01,28,ARI,19,,14,89,82,19,29,6,1,8,2,1,7,19,0.354,0.404,0.744,1.148,0.382,61,3,0,0,0,2,0
24,aranovi01,23,PHI,59.1,,60,246,226,19,54,10,2,6,5,2,17,60,0.239,0.293,0.381,0.673,0.296,86,4,1,0,2,4,2
25,araujpe01,24,BAL,28,,20,130,110,24,29,8,0,9,8,0,18,29,0.264,0.377,0.582,0.959,0.278,64,2,2,0,0,0,0
26,archech01,29,TOT,148.1,,27,638,579,77,155,39,1,19,10,4,49,162,0.268,0.33,0.437,0.767,0.339,253,14,6,1,3,3,5
27,archech01,29,TBR,96,,17,413,377,50,102,23,0,11,6,3,31,102,0.271,0.332,0.419,0.751,0.343,158,10,4,0,1,0,4
28,archech01,29,PIT,52.1,,10,225,202,27,53,16,1,8,4,1,18,60,0.262,0.326,0.47,0.796,0.331,95,4,2,1,2,3,1
29,arciafr01,28,LAA,3,,2,13,13,3,5,0,0,2,0,0,0,0,0.385,0.385,0.846,1.231,0.273,11,1,0,0,0,0,0
30,armstsh01,27,SEA,14.2,,14,57,49,2,9,3,0,1,0,0,3,15,0.184,0.263,0.306,0.569,0.229,15,0,3,0,2,1,0
31,arrieja01,32,PHI,172.2,,31,724,649,93,165,34,1,21,15,6,57,138,0.254,0.318,0.407,0.724,0.289,264,22,7,1,8,0,11
32,asheral01,26,MIL,3,,2,13,12,0,2,1,0,0,0,0,1,2,0.167,0.231,0.25,0.481,0.2,3,0,0,0,0,0,1
33,astudwi01,26,MIN,1,,1,8,8,5,5,1,0,2,0,0,0,0,0.625,0.625,1.5,2.125,0.5,12,0,0,0,0,0,0
34,avilaal01,31,ARI,2,,1,7,7,0,1,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0.143,1,0,0,0,0,0,0
35,avilalu01,28,TOT,45.1,,70,197,175,22,44,7,2,3,4,2,18,51,0.251,0.327,0.366,0.692,0.336,64,1,2,1,1,3,3
36,avilalu01,28,CHW,39.2,,58,172,154,20,40,5,2,2,3,2,14,46,0.26,0.327,0.357,0.685,0.355,55,1,2,1,1,2,3
37,avilalu01,28,PHI,5.2,,12,25,21,2,4,2,0,1,1,0,4,5,0.19,0.32,0.429,0.749,0.2,9,0,0,0,0,1,0
38,axforjo01,35,TOT,54.2,,50,233,206,35,52,10,1,6,3,2,22,54,0.252,0.33,0.398,0.729,0.311,82,8,3,0,2,1,3
39,axforjo01,35,TOR,51,,45,211,188,27,44,7,0,6,3,2,20,50,0.234,0.313,0.367,0.68,0.286,69,8,2,0,1,1,2
40,axforjo01,35,LAD,3.2,,5,22,18,8,8,3,1,0,0,0,2,4,0.444,0.5,0.722,1.222,0.533,13,0,1,0,1,0,1
41,baezpe01,30,LAD,56.1,,55,237,209,19,46,10,3,4,6,0,23,62,0.22,0.298,0.354,0.652,0.29,74,3,1,2,2,2,2
42,baezsa01,24,DET,14.1,,9,66,54,12,12,3,0,2,1,0,9,10,0.222,0.348,0.389,0.737,0.233,21,1,2,0,1,1,1
43,baileho02,32,CIN,106.1,,20,494,451,82,141,28,3,23,7,2,33,75,0.313,0.36,0.541,0.901,0.331,244,4,2,5,3,9,8
44,bandaan01,24,TBR,14.2,,3,56,51,6,12,3,1,1,0,0,3,10,0.235,0.273,0.392,0.665,0.268,20,2,0,1,1,0,0
45,barbajo01,25,DET,6.2,,7,36,29,9,11,1,0,3,0,0,5,2,0.379,0.486,0.724,1.21,0.333,21,0,1,1,0,1,0
46,bardlu01,27,LAA,11.2,,8,53,45,7,10,0,0,4,0,0,5,13,0.222,0.34,0.489,0.829,0.214,22,0,3,0,0,1,0
47,barlosc01,25,KCR,15,,6,65,62,7,16,2,0,2,0,0,3,15,0.258,0.292,0.387,0.679,0.311,24,0,0,0,0,0,1
