yearID,Name,teamID,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
2017,abadfe01,BOS,43.2,,48,182,165,18,40,9,0,4,5,1,14,37,0.242,0.302,0.37,0.672,0.286,61,4,1,0,2,1,2
2017,adamsau02,WSN,5,,6,29,19,4,4,1,0,0,0,0,8,10,0.211,0.448,0.263,0.711,0.4,5,0,1,0,1,0,1
2017,adlemti01,CIN,122.1,,30,531,469,79,124,34,2,29,6,2,51,108,0.264,0.342,0.531,0.872,0.283,249,8,6,1,4,1,3
2017,alberan01,SEA,41,,9,178,164,22,43,7,0,6,0,0,10,37,0.262,0.311,0.415,0.725,0.303,68,3,2,0,1,0,4
2017,alberma01,WSN,61,,63,233,211,12,35,4,1,6,3,1,17,63,0.166,0.24,0.28,0.52,0.203,59,6,4,0,1,0,2
2017,albural01,TOT,18,,21,71,63,5,10,2,0,0,0,0,8,14,0.159,0.254,0.19,0.444,0.204,12,1,0,0,0,0,0
2017,albural01,KCR,10,,11,42,36,4,7,0,0,0,0,0,6,9,0.194,0.31,0.194,0.504,0.259,7,1,0,0,0,0,0
2017,albural01,CHW,8,,10,29,27,1,3,2,0,0,0,0,2,5,0.111,0.172,0.185,0.358,0.136,5,0,0,0,0,0,0
2017,alcanra01,OAK,24,,8,108,92,21,22,7,0,5,0,0,12,12,0.239,0.343,0.478,0.821,0.224,44,2,3,0,1,1,2
2017,alcansa01,STL,8.1,,8,39,33,6,9,1,0,2,0,0,6,10,0.273,0.385,0.485,0.869,0.333,16,2,0,0,0,0,1
2017,alcanvi01,DET,7.1,,6,39,32,7,12,1,0,1,0,0,4,5,0.375,0.462,0.5,0.962,0.407,16,1,2,0,1,0,0
2017,alexasc02,KCR,69,,58,283,252,23,62,9,1,3,3,0,28,59,0.246,0.319,0.325,0.645,0.307,82,13,0,1,2,0,2
2017,allenco01,CLE,67.1,,69,282,258,24,57,8,1,9,6,1,21,92,0.221,0.285,0.364,0.649,0.306,94,1,2,1,0,0,2
2017,almonmi01,KCR,2,,2,12,9,3,5,2,0,0,1,0,2,0,0.556,0.583,0.778,1.361,0.5,7,1,0,0,1,0,0
2017,altavda01,SEA,46.2,,41,203,178,27,43,10,0,9,5,0,20,52,0.242,0.315,0.449,0.765,0.281,80,3,1,0,4,1,3
2017,alvarjo03,TBR,29.2,,35,123,111,12,24,4,1,1,2,0,9,29,0.216,0.273,0.297,0.57,0.28,33,1,0,2,1,1,2
2017,alvarda01,TEX,16.1,,20,82,65,8,19,3,0,1,2,0,14,17,0.292,0.415,0.385,0.799,0.367,25,2,1,0,2,0,2
2017,alvarhe01,PHI,14.2,,3,67,56,7,14,3,1,2,0,0,11,6,0.25,0.373,0.446,0.82,0.25,25,2,0,0,0,1,0
2017,alvarjo02,LAA,48.2,,64,203,190,23,50,8,1,7,1,0,12,45,0.263,0.307,0.426,0.733,0.312,81,5,0,1,0,5,1
2017,anderbr04,TOT,55.1,,13,251,227,41,73,23,1,5,6,1,21,38,0.322,0.375,0.498,0.872,0.364,113,7,0,0,3,0,1
2017,anderbr04,CHC,22,,6,111,98,22,34,14,1,2,1,0,12,16,0.347,0.414,0.571,0.986,0.395,56,2,0,0,1,0,1
2017,anderbr04,TOR,33.1,,7,140,129,19,39,9,0,3,5,1,9,22,0.302,0.343,0.442,0.785,0.34,57,5,0,0,2,0,0
2017,anderch01,MIL,141.1,,25,569,514,47,113,27,2,14,11,4,41,133,0.22,0.285,0.362,0.647,0.268,186,11,7,5,2,1,4
2017,anderdr02,PHI,2.1,,2,14,12,7,6,2,0,0,2,0,1,2,0.5,0.5,0.667,1.167,0.545,8,0,0,0,1,0,0
2017,anderty01,COL,86,,17,362,327,48,88,22,2,16,6,1,26,81,0.269,0.325,0.495,0.82,0.31,162,8,2,5,2,0,2
2017,andrima01,TBR,86,,18,374,341,48,90,22,0,16,5,2,28,76,0.264,0.326,0.469,0.795,0.296,160,6,4,0,1,1,4
2017,aokino01,HOU,1,,1,6,3,3,1,1,0,0,0,0,2,0,0.333,0.5,0.667,1.167,0.25,2,0,0,0,1,0,0
2017,aquinja01,BAL,13.1,,4,62,56,12,15,4,0,4,1,0,6,13,0.268,0.339,0.554,0.892,0.282,31,0,0,0,0,0,1
2017,aranovi01,PHI,10.2,,10,42,38,2,6,1,1,0,1,0,4,13,0.158,0.238,0.237,0.475,0.24,9,0,0,0,0,0,0
2017,archech01,TBR,201,,34,852,784,101,193,37,4,27,6,2,60,249,0.246,0.303,0.407,0.71,0.325,319,17,5,1,2,0,8
2017,armstsh01,CLE,24.2,,21,108,97,12,23,3,0,5,1,0,10,20,0.237,0.315,0.423,0.737,0.25,41,1,1,0,0,0,1
2017,arrieja01,CHC,168.1,,30,707,637,82,150,33,5,23,19,4,55,163,0.235,0.305,0.411,0.716,0.279,262,10,10,1,4,3,9
2017,arroybr01,CIN,71,,14,322,294,59,94,27,1,23,1,2,19,45,0.32,0.363,0.653,1.016,0.311,192,3,2,5,2,2,1
2017,asheral01,BAL,60,,24,265,232,36,61,11,1,10,5,0,23,47,0.263,0.345,0.448,0.793,0.288,104,7,7,1,2,2,1
2017,astinba01,CIN,8,,6,41,31,6,9,1,1,2,0,1,7,2,0.29,0.439,0.581,1.02,0.25,18,1,2,0,1,0,1
2017,avilalu01,LAD,46,,61,194,171,16,42,11,2,2,3,3,22,52,0.246,0.335,0.368,0.703,0.342,63,4,1,0,0,3,1
2017,axforjo01,OAK,21,,22,109,87,16,27,4,0,3,2,0,17,21,0.31,0.426,0.46,0.886,0.369,40,1,2,1,2,0,1
2017,aybarer01,SDP,1.1,,2,4,3,0,0,0,0,0,0,0,1,0,0,0.25,0,0.25,0,0,1,0,0,0,0,0
2017,baezpe01,LAD,64,,66,280,249,24,56,13,4,9,2,1,29,64,0.225,0.311,0.418,0.728,0.267,104,1,2,0,0,2,1
2017,bailean01,LAA,4,,4,13,13,0,1,0,0,0,0,0,0,2,0.077,0.077,0.077,0.154,0.091,1,0,0,0,0,0,0
2017,baileho02,CIN,91,,18,420,363,67,112,31,0,11,8,3,42,67,0.309,0.39,0.485,0.875,0.352,176,9,8,5,2,2,3
2017,bandaan01,ARI,25.2,,8,115,102,17,26,9,3,1,0,0,10,25,0.255,0.339,0.431,0.771,0.329,44,2,3,0,0,1,3
2017,barbajo01,PIT,28.2,,24,130,110,13,25,8,0,4,0,0,18,23,0.227,0.346,0.409,0.755,0.253,45,1,2,0,0,0,0
2017,barneda02,TOR,66,,60,265,240,26,48,8,0,11,8,1,24,62,0.2,0.275,0.371,0.646,0.222,89,6,1,0,0,1,2
2017,barneja01,MIL,72,,73,304,265,35,57,14,0,8,4,1,33,80,0.215,0.306,0.358,0.664,0.272,95,10,3,0,3,4,9
2017,barnema01,BOS,69.2,,70,287,254,31,57,10,1,7,4,3,28,83,0.224,0.301,0.354,0.655,0.299,90,7,1,1,3,0,2
2017,barneto01,TEX,57.1,,50,252,222,36,64,17,0,7,1,1,22,57,0.288,0.349,0.459,0.809,0.348,102,7,2,0,6,4,2
2017,barraky01,MIA,66,,66,286,239,25,53,6,0,5,5,1,38,76,0.222,0.329,0.31,0.638,0.296,74,4,2,3,4,3,4
2017,barreja01,ARI,27,,28,121,104,18,27,2,1,7,1,0,15,26,0.26,0.347,0.5,0.847,0.274,52,2,0,0,2,2,2
2017,bassan01,TEX,5.2,,2,31,30,9,14,4,0,1,0,0,0,1,0.467,0.452,0.7,1.152,0.448,21,0,0,0,1,0,1
2017,bastaan01,PIT,9,,9,52,43,15,16,3,0,5,3,0,9,8,0.372,0.481,0.791,1.271,0.367,34,0,0,0,0,0,0
2017,bauertr01,CLE,176.1,,32,749,680,84,181,41,3,25,4,6,60,196,0.266,0.329,0.446,0.774,0.338,303,16,5,1,3,0,3
2017,baumabu01,SDP,17.2,,23,72,62,5,11,2,0,4,1,1,7,21,0.177,0.292,0.403,0.695,0.189,25,2,3,0,0,2,2
2017,beatope01,PHI,0.2,,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,beckch02,CHW,64.2,,57,294,252,48,73,17,0,16,5,2,34,42,0.29,0.379,0.548,0.926,0.289,138,11,4,1,3,3,2
2017,bedroca01,LAA,44.2,,48,190,171,26,41,8,2,5,3,2,17,53,0.24,0.307,0.398,0.705,0.316,68,3,0,1,1,1,3
2017,belisma01,MIN,60.1,,62,247,220,31,48,10,1,7,4,1,22,54,0.218,0.294,0.368,0.662,0.256,81,7,2,2,1,6,2
2017,belivje01,TOR,15.2,,19,70,60,14,17,4,0,4,0,0,6,17,0.283,0.348,0.55,0.898,0.317,33,1,1,1,2,1,0
2017,bellch02,DET,62.1,,28,293,259,49,81,14,1,12,5,2,31,57,0.313,0.392,0.514,0.906,0.363,133,10,3,0,0,3,4
2017,benoijo01,TOT,50.1,,52,213,189,28,43,9,2,7,2,1,22,46,0.228,0.31,0.407,0.717,0.263,77,3,1,0,1,1,0
2017,benoijo01,PHI,42,,44,171,155,19,32,8,1,5,2,1,16,43,0.206,0.281,0.368,0.648,0.252,57,2,0,0,0,1,0
