"yearID","playerID","teamID","AB","R","H","2B","3B","HR","SB","CS","BB","SO","TB","GIDP","HBP","SH","SF","IBB"
"2018","adamja01","KCR","122","22","30","6","1","9","2","2","15","37","65","1","3","0","2","1"
"2018","adamsau02","WSN","4","0","1","0","0","0","0","0","3","0","1","0","0","0","0","0"
"2018","adamsch01","NYY","30","7","8","1","0","3","0","0","4","4","18","2","0","0","0","0"
"2018","alberma01","MIL","140","29","45","3","2","10","3","1","12","32","82","6","2","0","3","2"
"2018","alcansa01","MIA","117","13","25","8","0","3","1","2","23","30","42","2","2","2","2","0"
"2018","alcanvi01","DET","112","8","25","7","0","5","1","0","6","21","47","1","0","0","1","0"
"2018","alexasc02","LAD","238","28","57","9","2","4","4","3","27","56","82","15","2","1","0","2"
"2018","allarko01","ATL","41","12","19","2","0","3","0","0","4","3","30","1","1","1","0","0"
"2018","allenco01","CLE","251","35","58","10","1","11","2","0","33","80","103","5","4","1","0","2"
"2018","almonmi01","LAA","30","8","9","3","1","1","0","0","3","7","17","0","1","0","0","0"
"2018","almonye01","COL","55","5","15","5","0","1","1","1","4","14","23","4","0","0","1","0"
"2018","altavda01","SEA","68","7","11","2","0","2","2","0","15","23","19","3","2","0","0","0"
"2018","alvarjo03","TBR","229","21","42","10","1","1","2","0","29","80","57","3","1","2","2","4"
"2018","alvarjo02","LAA","235","20","51","14","1","3","3","1","22","59","76","6","2","2","0","2"
"2018","anderbr04","OAK","316","42","90","21","1","10","1","1","13","47","143","9","2","2","0","0"
"2018","anderch01","MIL","575","71","131","20","2","30","10","8","57","128","245","13","7","4","1","0"
"2018","anderdr02","PHI","55","7","17","7","0","0","3","0","2","11","24","1","2","0","0","0"
"2018","anderju01","LAA","196","25","42","3","0","3","3","2","40","67","54","9","4","0","0","3"
"2018","anderta01","PIT","45","10","15","3","0","1","1","0","8","6","21","3","1","2","0","2"
"2018","anderty01","COL","665","94","165","35","4","30","9","3","59","164","298","13","3","3","7","1"
"2018","andrima01","TBR","229","32","55","14","1","7","3","0","18","59","92","6","2","1","1","3"
"2018","andrima01","ARI","82","19","29","6","1","8","2","1","7","19","61","3","0","0","0","2"
"2018","aranovi01","PHI","226","19","54","10","2","6","5","2","17","60","86","4","1","0","2","4"
"2018","araujpe01","BAL","110","24","29","8","0","9","8","0","18","29","64","2","2","0","0","0"
"2018","archech01","TBR","377","50","102","23","0","11","6","3","31","102","158","10","4","0","1","0"
"2018","archech01","PIT","202","27","53","16","1","8","4","1","18","60","95","4","2","1","2","3"
"2018","arciafr01","LAA","13","3","5","0","0","2","0","0","0","0","11","1","0","0","0","0"
"2018","armstsh01","SEA","49","2","9","3","0","1","0","0","3","15","15","0","3","0","2","1"
"2018","arrieja01","PHI","649","93","165","34","1","21","15","6","57","138","264","22","7","1","8","0"
"2018","asheral01","MIL","12","0","2","1","0","0","0","0","1","2","3","0","0","0","0","0"
"2018","astudwi01","MIN","8","5","5","1","0","2","0","0","0","0","12","0","0","0","0","0"
"2018","avilaal01","ARI","7","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2018","avilalu01","CHW","154","20","40","5","2","2","3","2","14","46","55","1","2","1","1","2"
"2018","avilalu01","PHI","21","2","4","2","0","1","1","0","4","5","9","0","0","0","0","1"
"2018","axforjo01","TOR","188","27","44","7","0","6","3","2","20","50","69","8","2","0","1","1"
"2018","axforjo01","LAD","18","8","8","3","1","0","0","0","2","4","13","0","1","0","1","0"
"2018","baezpe01","LAD","209","19","46","10","3","4","6","0","23","62","74","3","1","2","2","2"
"2018","baezsa01","DET","54","12","12","3","0","2","1","0","9","10","21","1","2","0","1","1"
"2018","baileho02","CIN","451","82","141","28","3","23","7","2","33","75","244","4","2","5","3","9"
"2018","bandaan01","TBR","51","6","12","3","1","1","0","0","3","10","20","2","0","1","1","0"
"2018","barbajo01","DET","29","9","11","1","0","3","0","0","5","2","21","0","1","1","0","1"
"2018","bardlu01","LAA","45","7","10","0","0","4","0","0","5","13","22","0","3","0","0","1"
"2018","barlosc01","KCR","62","7","16","2","0","2","0","0","3","15","24","0","0","0","0","0"
"2018","barneda02","TOR","165","28","47","16","1","6","14","1","22","38","83","3","1","0","2","1"
"2018","barneja01","MIL","192","24","51","6","2","4","7","1","23","47","73","5","0","1","1","2"
"2018","barnema01","BOS","230","25","47","10","1","5","6","1","31","96","74","2","2","0","2","1"
"2018","barneto01","TEX","97","11","19","8","0","2","1","0","5","26","33","2","2","0","0","0"
"2018","barraky01","MIA","203","27","40","7","0","8","6","1","34","60","71","4","5","2","1","3"
"2018","barreja01","ARI","28","4","8","1","1","1","0","0","2","6","14","1","0","0","0","0"
"2018","barrija01","LAA","483","50","117","24","1","17","2","5","47","98","194","13","6","0","0","0"
"2018","bashlty01","NYM","119","16","26","6","0","6","6","1","12","25","50","1","3","1","0","0"
"2018","bassan01","CHC","59","6","18","2","0","1","2","0","3","14","23","2","0","0","0","0"
"2018","bassich01","OAK","181","21","40","5","0","4","3","2","19","41","57","1","4","0","0","0"
"2018","bauertr01","CLE","645","51","134","30","2","9","11","7","57","221","195","7","9","3","3","2"
"2018","baumabu01","SDP","3","5","2","0","0","0","1","0","2","0","2","0","0","1","0","0"
"2018","baumabu01","NYM","16","8","7","3","0","1","0","0","5","4","13","0","0","0","0","2"
"2018","bautige01","NYM","18","6","8","4","0","2","0","0","5","3","18","0","0","0","2","0"
"2018","beckch02","CHW","89","11","24","7","0","5","0","2","11","16","46","1","1","0","1","0"
"2018","beckch02","NYM","37","6","10","1","0","3","2","2","9","5","20","1","0","0","0","0"
